OE Opportunities,,,,,,,,,,Formula,,,,,,,Formula,,,,
,,,,,,,Lead,Lead,,,,,Contract,,Estimated,Estimated, 84.2 ,,,,
Sr. no.,Customer,Description,Business Unit,"Product 
category","Product
subcategory","Business 
category","PIN 
Sales","PIN 
Presales","Deal 
stage","Deal 
classification","Deal 
status","Winning 
probability",Estimated closure date,Confidence level,Lifetime volume,Unit price (INR),Unit price (USD),"TCV 
(USD Mln.)",Comments,PMS,Remarks
1,   Royal Enfield,Navigation Display unit ,MAC,Other MAC,Cluster (2W),Line-fit,Gaurav,Haseeb,O (H),Hold,Other,0%,TBC,Low," 9,00,000 "," 1,200 ", 14.3 , 12.8 ,On hold due to bandwidth issue.,N,
2,Ashok Leyland (CV),"360-deg. camera solution (4-camera with 6"" screen)",MAC,Smartcam,360-deg. camera,POC - Paid,Gaurav,Haseeb,O (H),Hold,Other,0%,TBC,Low, 1 ," 22,000 ", 261.3 , 0.0 ,"ADAS is priority for AL at this stage, once the feature is rolled out then 360 feature will be explored",N,
3,Honda (4W),360-deg. camera solution,MAC,Smartcam,360-deg. camera,Line-fit,Ashish,Rachit,O (H),Hold,Other,0%,TBC,Low," 46,800 "," 13,000 ", 154.4 , 7.2 ,On-hold from Honda,N,
4,Honda (4W),"USB Charger (A-Type/C-Type) (15W, 45W, 65W)",MAC,Other MAC,USB port,Line-fit,Ashish,Rachit,O (H),Hold,Other,0%,TBC,Mid," 78,000 "," 2,125 ", 25.2 , 2.0 ,Honda will release RFQ after vendor-code-creation,N,
5,Mahindra (4W),Branded Audio for U171 (Bolero Sports) - 10-spk,MPC,Sound ,Spk + Amp,Line-fit,Parvez,Rachit,O (L),Lost,Lost,Lost,Sep-25,Lost," 1,20,000 "," 13,000 ", 154.4 , 18.5 ,Lost to Sony,,
6,Mahindra (4W),Branded Audio for Z115 (Scorpio N Refresh) - 12-spk,MPC,Sound ,Spk + Amp,Line-fit,Parvez,Rachit,O (L),Lost,Other,0%,Dec-25,Lost," 4,39,000 "," 15,000 ", 178.1 , 78.2 ,Lost to Harman,Y,
7,Mahindra (4W),Wirless Charger MPP Profile Qi 2.1,MAC,Other MAC,WLC,Line-fit,Gaurav,Haseeb,E,RFQ,Opportunity,50%,Mar-26,High," 10,00,000 "," 1,900 ", 22.6 , 22.6 ,"RFQ received, TSO prpeparation in progress",N,
8,Mahindra (4W),Branded Audio for D101 (Thar Sport) - 10-spk,MPC,Sound ,Spk + Amp,Line-fit,Parvez,Rachit,O (L),Lost,Other,0%,Mar-26,Low," 4,96,056 "," 13,500 ", 160.3 , 79.5 ,Lost to Sony.,Y,
9,Mahindra (4W),USB Port - Type A/C (60W + 20W),MAC,Other MAC,USB port,Line-fit,Gaurav,Haseeb,B,Before Lead,Lead Generation,35%,Sep-26,Low," 2,08,000 ", 400 , 4.8 , 1.0 ,Awaiting RFQ from M&M,N,
10,MSIL (4W),Entry DA,MPC,IVI ,DA,Line-fit,Ashish,Rachit,O (L),Lost,Other,20%,Dec-25,Low," 12,00,000 "," 7,500 ", 89.1 , 106.9 ,,Y,
11,MSIL (4W),Dashcam solutions,MAC,Smartcam,Dashcam,Line-fit,Ashish,Rachit,D,Lead,Supplier Qualification,50%,Dec-26,Mid," 7,32,000 "," 4,000 ", 47.5 , 34.8 ,,N,
